اسم منتج المنافس,صورة المنافس,سعر المنافس,مصدر الملف,أقرب منتج لدينا,نسبة التطابق %,الطبقة المستخدمة,الماركة,القرار,وصف المنتج (LLM),وصف الماركة (LLM)
سيرافي منظف منعم للبشرة بحمض الساليسيليك - 473مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/2f9fa727-bd93-45b0-b8a9-b32ec3ff0ea3-333.33333333333x500-sK04ZUFUFld9h8dJTrCI3iKwPy2LbksBXJIHrnPV.png",93,متجر ساراء ميكاب.csv,غسول جل رغوي إيفاكلار للبشرة الدهنية والحساسة من لاروش بوزيه - 400مل,18.1,GOLDEN-LOW-VERIFIED,,new,,
تونج معجون تنظيف اللسان بالزنك والنعناع المنعش - 85 جم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/32722ed9-8711-4550-9c86-e9dc1f4dc38a-500x500-KFdsRWdu4v1ilAm4EWE8bvqzzbCSMmuTMutKbCoV.png",28,متجر ساراء ميكاب.csv,نكس محدد شفاه دك بلومب بلومبينغ,29.9,GOLDEN-LOW-VERIFIED,,new,,
ورال-بي خيط تنظيف الأسنان - 50 متر,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/0af8845b-6e5c-48cd-8fbf-9736dc007dbc-500x500-rkLzBWhnKFp7K9GeT9dmt2xLqMgNWnKcmSCBsaQ7.png",10,متجر ساراء ميكاب.csv,معجون أسنان مارفيس بالزنجبيل والنعناع 85 مل,30.1,GOLDEN-LOW-VERIFIED,,new,,
أحمر شفاه روج سائل مطفي سنسيشنال من فور إيفر 52,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/4ff0ddd3-f7ae-4cba-b64e-f56f1c08c8c0-500x500-DtyZdT4DsUNraUkiwM67rlRfR5JzxeQDd226BnF7.png",24,متجر ساراء ميكاب.csv,نارس بلاشر أحمر خدود سائل افترجلو,37.7,GOLDEN-LOW-VERIFIED,,new,,
عينة عطر أوبوس 1144 إكستريت من فيليبو سورشينيلي دو بارفان,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/bfc00365-d6b3-4fd9-8647-c563616e5e1c-500x500-nXHD8HLTeJDDiv50c7Mw3STjQ81kHPjo978P8pUF.png",17,متجر ساراء ميكاب.csv,عطر اكسلنسي اودو بارفيوم للجنسين 100مل,41.1,GOLDEN-LOW-VERIFIED,,new,,
عطر لوبين كوندوتيير - 100 مل - Lubin Condottiere,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/9b428d42-697b-482e-8462-c34a26211943-500x500-87mG6s7Ai0fMiOAfRiAe2KRTQLC7I68pC2xwGhNI.png",1069,متجر ساراء ميكاب.csv,عطر ذا دارك سايد فرانشيسكا بيانكي -100مل,37.4,GOLDEN-LOW-VERIFIED,,new,,
عطر لوبين إيدل - 100 مل - Lubin Idole,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/1e171742-7f21-4786-ad1d-5db15bb9ce15-500x500-O5YZ9QxztDaa3YvSTCzTkYqmnXSagmQvbrAyT0OV.png",971,متجر ساراء ميكاب.csv,عطر ايتت ليبر ابف ذا وييف 100مل,54.5,GOLDEN-LOW-VERIFIED,,new,,
عطر لوبين كوريجان - 100 مل - Lubin Korrigan,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/561146a7-0320-48eb-b0e1-e707b63bdfb3-500x500-mDoTuTNlXVQs1hPvqJt36XlDikvqWLCSzFFqO9DZ.png",966,متجر ساراء ميكاب.csv,عطر لافيرن كوبن توباكو 100مل,40.7,GOLDEN-LOW-VERIFIED,,new,,
عطر لوبين أبر تن - 100 مل - Lubin Upper Ten,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/1be87dd5-a015-42c4-bb17-ee55a89ab7c1-500x500-qcjQZanwmJCejLlCVfgVLdc9ynWmHmvJ7tKMZss4.png",897,متجر ساراء ميكاب.csv,عطر لانكوم لا نوت تريزور نود 100مل,37.6,GOLDEN-LOW-VERIFIED,,new,,
عطر لوبين دايمو - 100 مل - Lubin Daimyo,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/b1f038ac-af28-4229-9907-142142208679-500x500-NcWf0YmerXwrqLsu9WUI3YSlirMSdCwAQp0a5WZ6.png",1058,متجر ساراء ميكاب.csv,عطر ميمواز إيرا أو دو بارفان 100 مل للجنسين,36.3,GOLDEN-LOW-VERIFIED,مايتر بارفومير إيه غونتييه,new,,
عطر جيفري من سبيرتيكا اكسترايت 50 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/1ff3d759-4314-4d60-98c6-828a02630806-495.01992031873x500-HRdvAcuN7ymxBlvFZR0XH6bGly2r0OBu83CHEIIG.png",920,متجر ساراء ميكاب.csv,عطر رينيير ريس تاناما إكستريت دو بارفيوم 50مل (للجنسين),54.4,GOLDEN-LOW-VERIFIED,,new,,
عطر اومو اكوا من قيس الرجالي او دو تواليت,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/dd48cd4b-0bb9-4c05-ad30-64d182424a83-500x500-jKEPqUznVt6cvstgS69B1ZSKElcyf6qHbQZ3AkAy.png",144,متجر ساراء ميكاب.csv,عطر اشر هوم الرجالي او دو تواليت 100مل,47.2,GOLDEN-LOW-VERIFIED,قيس,new,,
عطر كلاود للأطفال من بيرفيوم غاليري - 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/15ab74a1-8c86-46e1-956f-e0ded44d3e95-500x500-vAIRx976rwCHeG0DiuAoAxcDMjWqvkJ2j2yWyYvU.png",64,متجر ساراء ميكاب.csv,عطر يونيك لكجري ماشومارو إكسترايت دي بارفيوم 100 مل,44.2,GOLDEN-LOW-VERIFIED,,new,,
عطر جاردين من بيرفيوم غاليري للأطفال 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/5c8eb642-90db-4b7d-88fc-005f8efb583f-500x500-4s0qQ30Bmo4NWCLl04lNZqqzoGKhw7r9W0WYmeRq.png",58,متجر ساراء ميكاب.csv,عطر عطر بنهاليغونز هالفيتي أودو بارفيوم 100 مل للجنسين,47.4,GOLDEN-LOW-VERIFIED,,new,,
شامبو الارجان المغربي من ارجان ميداس 450مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/405fecbd-f363-44fa-ba0a-6fcf282eeb40-500x500-hIOWBBGFOa5opZvmxhgTaw43Yu9j1miF9CUlsAJd.png",61,متجر ساراء ميكاب.csv,عطر أحمد المغربي أهل أو دو بارفيوم 60 مل للجنسين,16.4,GOLDEN-LOW-VERIFIED,,new,,
بورجوا أحمر شفاه سائل روج فيلفيت إنك 22,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/dd7e0447-6828-4f8b-b66d-c2a812e82aea-500x500-zlbSj8quiX5NPfcAIDOTYysh5yY5DGFrterEphNq.png",74,متجر ساراء ميكاب.csv,نكس محدد شفاه دك بلومب بلومبينغ,32.3,GOLDEN-LOW-VERIFIED,,new,,
باليت احمر الخدود - بيبي بينك من هدى ييوتي,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/327e6c4c-344a-4999-985d-d588a6a1a2ff-333.33333333333x500-MuFjgW8iyhHu8T8SH9E5M9gfohKDklHXXFThpopj.webp",239,متجر ساراء ميكاب.csv,مجموعة عطور نايت تايم للعرايس,39.5,GOLDEN-LOW-VERIFIED,بيبي,new,,
مجموعة هدايا ليبر – إيف سان لوران او دو بارفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/c748d763-bc7f-4d61-a015-c08fe512ecac-500x333.33333333333-wcGQWdbu4oxf1LX67VC11Mhya5GrEYnX1ldSS7tF.png",725,متجر ساراء ميكاب.csv,مجموعة هدايا كايالي  فيري فانيلا,45.7,GOLDEN-LOW-VERIFIED,ايف سان لوران,new,,
مجموعة احمر الشفاه للعطلات من سيفورا - 10 قطع,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/47d9888e-4ac0-42ad-9efa-68d82f88a972-500x500-DmR8q9sQqv8Hvf0WgN1scJdfbvPbs46ItKOWX662.png",390,متجر ساراء ميكاب.csv,عطر أغاثو مجموعة هدايا مجموعة عطور,48.9,GOLDEN-LOW-VERIFIED,,new,,
استشوار مجفف الشعر 1800 واط RE-2068‏ من ريبون,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/40956ec4-89be-487d-bd26-590a8e0bd170-500x500-C2WHZ5znZUV92N4a41XEU7tuLxuVF8XzikcKsij3.png",182,متجر ساراء ميكاب.csv,مبخرة ترطيب الهواء بالزيوت العطرية فواحة 1106,50.6,GOLDEN-LOW-VERIFIED,,new,,
جهاز تدليك العضلات بقوة 30 واط من ريبون,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/d1a05395-d178-47d6-8db5-29bcd459e163-500x500-mRqgfzkaFm4mdTprw1dD0pfLxHeYNs2mUZ2AcleP.png",165,متجر ساراء ميكاب.csv,تستر لاليك لانسوميس ما فورس أو دو تواليت 100مل للرجال,24.2,GOLDEN-LOW-VERIFIED,,new,,
سيروم فيتامين لتوحيد لون البشرة من ايكوال بيري - 30 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/f3b4c8d9-c579-4684-9ee6-fdc1b8463727-500x500-DJpynIVhLPZfEYVMuRfblyqaooiVirPbpKK3knGj.jpg",96,متجر ساراء ميكاب.csv,سيروم فيتامين سي للوجه من اوز ناتشورال 30مل,49.5,GOLDEN-LOW-VERIFIED,ايكو,new,,
سيروم هيالوتوين للترطيب المكثف من ايكوال بيري - 30 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/66026e21-eb48-4924-918e-bec396d3ce3f-500x500-1HGpPUbll9Z0u9mIqXp5weWRmgjwNYIkLAfwO8fe.jpg",96,متجر ساراء ميكاب.csv,تستر اكوا دي بارما نوت دي كولونيا  أو دو كولون 150 مل,15.4,GOLDEN-LOW-VERIFIED,ايكو,new,,
"ايكوال بيري, سيروم الكولاجين و الببتيدات لشد ونضارة البشرة, 30مل","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/870950e7-936f-41cb-8a4c-908b3c0f57a4-500x500-xTPkmWE28y8j8ZabHYRGqg6Xo8rXCvlJIsgqCvK4.webp",79,متجر ساراء ميكاب.csv,كريم اكسيس واي البانثينول 10 لتنعيم وتهدئه البشرة الحساسه - 50 مل,15.0,GOLDEN-LOW-VERIFIED,ايكو,new,,
"بلسم ألترا دوكس بخلاصة زيت الخروع و اللوز المعالج من غارنييه , 360 مل","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/4ca3e1ee-0bb2-4ec8-9254-1ea2a3448117-375.21663778163x500-5jWQMTSIXQTzX2l2tX78XQjgDuEpRXW9gHR3yvIW.png",21,متجر ساراء ميكاب.csv,رصاصي نبراس العشق نور زيت عطري 6 مل,15.2,GOLDEN-LOW-VERIFIED,,new,,
شنطة يد وكتف جلد نسائي من ستيفانو,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/a76e830d-d6f2-4641-885f-5e75f9534a4d-333.50113264536x500-fRIjnBsyfUSipHHTeFeGwQu7MSF2ogKiWZDYNlNX.jpg",229,متجر ساراء ميكاب.csv,عطر جس سيدكتف الذهبي النسائي أو دو تواليت 75مل,31.2,GOLDEN-LOW-VERIFIED,ستيفانو,new,,
شنطة جلد مطفي مجعد بقاعدة مسمار نسائي من ستيفانو,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/5ec50d05-ea7b-4a1d-9274-7ed15a5901cf-360.11829851498x500-0K43ijnNAhn3RCTWL9F8QUxyox02h8S6GUwvckIo.jpg",199,متجر ساراء ميكاب.csv,عطر  شعر لطافة فيلفيت عود رذاذ,38.6,GOLDEN-LOW-VERIFIED,ستيفانو,new,,
شنطة جلد مطفي مجعد نسائي من ستيفانو,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/61c00e04-fe0b-4d75-9b94-021ab39d345a-360.11829851498x500-hWfiIsFwWGXIx8pjAc2Ve9IjjzpugxdtxfqVIOEY.jpg",159,متجر ساراء ميكاب.csv,رذاذ عطري للجسم والملابس قصة هيلين فروست - 100 مل,29.5,GOLDEN-LOW-VERIFIED,ستيفانو,new,,
شنطة جلد مطفي مجعد ناعم نسائي بقاعدة مسمار من ستيفانو,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/8eec0993-c54c-4b02-b45e-7966b4530f41-360.11829851498x500-oWmEqPqSjAx0McBMlYOCkGbQQDkbeKlopTcVCC4D.jpg",99,متجر ساراء ميكاب.csv,عطر  شعر لطافة فيلفيت عود رذاذ,37.5,GOLDEN-LOW-VERIFIED,ستيفانو,new,,
عينة عطر ايروس فليم من فرزاتشي للرجال - او دو برفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/28bd9ffe-98f2-4034-b109-a60b5e8b9d15-500x500-QYunQdlFWhbV9LqEOsSsXFbJnaah3lOGvCko3H6l.png",6,متجر ساراء ميكاب.csv,عطر دافيدوف كول وواتر انتينس أو دو برفيوم 125مل للرجال,40.6,GOLDEN-LOW-VERIFIED,,new,,
جهاز مساج وتدليك العضلات بحجم صغير محمول بـ 6 سرعات من ريبون RE-2163,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/9dcb992d-2e49-4a52-a1ac-065a538ba14a-500x500-SRVLBA8LyoDqnXDDNyS0scKjV5U05G5Fe7JMSb8B.png",72,متجر ساراء ميكاب.csv,غسول منظف ​​جل بخطوة واحدة بالكينوا المتوازن من اكسيس واي - 180 مل,27.5,GOLDEN-LOW-VERIFIED,,new,,
عينة عطر سوسبيرو «إل بادِرِينو» أو دو برفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/e4bad37d-d0b5-4e50-93fa-dccba70d14a5-500x500-Ghk07PsUCqP8BcbucKnQaF6AAQz0YYpbQ9tNcdVP.png",13,متجر ساراء ميكاب.csv,عطر مار إيتيرنا من رامون بيجار أو دو برفيوم 100مل,39.9,GOLDEN-LOW-VERIFIED,سوسبيرو,new,,
عطرغزل من الاسرار - او دي بارفيوم - 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/a49e33b5-9b5b-4206-8ff7-dc6bb078c1d4-500x500-qouzR663dYk4cfyrTBDOZjqyMz5lry6iv5A3eEtF.png",122,متجر ساراء ميكاب.csv,عطر زودياك دمار او دي بارفيوم 100 مل,48.4,GOLDEN-LOW-VERIFIED,,new,,
بخاخ بروتين الماكا لتنعيم واصلاح الشعر من كارسيل- 200 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/f70a2ad2-5d62-46d7-8de6-eb8b8171b550-500x500-5h5Q1ifJtvwV925keV6trt1TUjH6dgBQoRNXIJYy.png",41,متجر ساراء ميكاب.csv,زيت كارسيل ماكا العطري للجسم والشعر التالف 50مل,19.0,GOLDEN-LOW-VERIFIED,بروت,new,,
زيت جل مرطب للبشرة من جونسون برائحة الزهور المنعشة 200 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/c6948461-be2c-457e-9494-dd971dc24bb1-500x500-WyjXrgi6tOyeA43duJUirmKtoj2KvrAKWt1t5m4D.png",26,متجر ساراء ميكاب.csv,زيت عطري أجمل مخلط اماراتي اجمل 12 مل,16.7,GOLDEN-LOW-VERIFIED,,new,,
عطر وتين رقم 1513 25 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/e9a4c217-f8ab-478c-b4df-d2c331fed9b9-500x500-Z3eKrSZppjQDQWRiYTMQTRVxWxaqPC8fVPn0ddpi.png",11,متجر ساراء ميكاب.csv,عطر ميني فانسي FANCCY 25مل,39.9,GOLDEN-LOW-VERIFIED,,new,,
بخاخ مزيل عرق عود فانيلا من فرانك اوليفير 250 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/5ce511ca-51c9-40c1-9335-2284f346d44b-445.17958412098x500-iCFcdFKwLxjQZlZIDLkyH8ZEb65FrA0WSKfzBV9w.png",57,متجر ساراء ميكاب.csv,مزيل عرق بروفيسي من محمود سعيد 250 مل,47.4,GOLDEN-LOW-VERIFIED,فرانك أوليفر,new,,
بخاخ مزيل عرق بيلا من فرانك اوليفر للنساء 250 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/998d1a65-2422-498c-88f8-0d483f9eb139-500x500-qlgp4WZqAZ3IIcMx0uz1DFdoX91oGjAI254onvMO.png",40,متجر ساراء ميكاب.csv,بودرة معطرة للجسم من فرانك اوليفير 200 غرام للنساء,37.0,GOLDEN-LOW-VERIFIED,فرانك أوليفر,new,,
بخاخ مزيل عرق وايت تاتش من فرانك اوليفر للنساء 250 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/be6f78a9-873e-4524-8433-f1d85a307d6b-500x500-rh5tHfb2HcSL0hhMTsklm0mpq7RPy2d3zqkE5uEf.png",38,متجر ساراء ميكاب.csv,بودرة معطرة للجسم من فرانك اوليفير 200 غرام للنساء,36.3,GOLDEN-LOW-VERIFIED,فرانك أوليفر,new,,
بخاخ مزيل عرق للنساء من فرانك اوليفر 250 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/90534773-b4eb-4761-a3ca-685f9ca2f9ca-500x500-OpPUgvUHbThgyPZZ0okz9ygapxm41DRyFNHa0gxF.png",36,متجر ساراء ميكاب.csv,بودرة معطرة للجسم من فرانك اوليفير 200 غرام للنساء,37.8,GOLDEN-LOW-VERIFIED,فرانك أوليفر,new,,
بخاخ مزيل عرق بيلا ان باريس للنساء من فرانك اوليفير 250مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/9795d095-2a23-447f-a50a-a611642e71c7-437.265917603x500-ZRHaK2MB1oU4GN4yDFrOKCaKJFtGju1E4v1lLVq4.png",33,متجر ساراء ميكاب.csv,عطر ميزون فرانسيس كوركدجيان باريس إيه لا روز 200مل للنساء,19.9,GOLDEN-LOW-VERIFIED,فرانك أوليفر,new,,
بخاخ مزيل عرق عود تاتش للجنسين من فرانك اوليفير 250مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/f09975cb-aa36-4722-aae8-a2e82ef73394-437.265917603x500-zhn6gCsJDWgR6YBxIiYcEDoCYzdiNa3nuY6eJUCO.png",29,متجر ساراء ميكاب.csv,مزيل عرق بروفيسي من محمود سعيد 250 مل,45.5,GOLDEN-LOW-VERIFIED,فرانك أوليفر,new,,
بلسم للشعر من فاتيكا للمعالجة والترطيب 400 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/85c5573c-9d57-449d-ab14-77db75f9a1ff-500x500-KZCrPULtPqbAFk95edLVNzjLUf9LYL4YK44pySxv.png",12,متجر ساراء ميكاب.csv,كارسيل للشعر قناع معالج  بالكولاجين للشعر الجاف والتالف - 500 مل,19.9,GOLDEN-LOW-VERIFIED,,new,,
لوشن جلوتا هيا بيرست اشراقه ندية بالنياسيناميد من فازلين - 200 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/f8cbb86a-a095-4811-9fb5-a0174999c3e4-375.21663778163x500-Ciy77cuLBCWuDJhW3HxsiksQGZwqTvYUVI0OtmZc.png",21,متجر ساراء ميكاب.csv,عطر عساف فرانكل إيمجنيشن إنتنس أو دو برفيوم 200 مل,39.3,GOLDEN-LOW-VERIFIED,اشر,new,,
مومز باث ليفة التقشير للعناية بمشاكل الجسم قطعة واحدة,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/2759a565-4f88-4786-8c1d-e5fe87bad21c-500x500-xr9eZemRKVOqx1IUIwysY78R56ES0Kv4Rwuj0PVi.jpg",11,متجر ساراء ميكاب.csv,عود مروكي دقة سوبر - كسر مباخر (1 أوقية),44.3,GOLDEN-LOW-VERIFIED,,new,,
عطرتيزيانا تيرنزي – ل”إنوسنس أسولوتا – إكستريت دي بارفيوم 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/7f09e53b-1528-4828-a2b0-1aa19791654c-454.19847328244x500-35VAi54BMgDuwZ54m8GwMwu2abDsI0CcLW3g4Nw1.png",1092,متجر ساراء ميكاب.csv,عطر تروساردي دونا النسائي أو دي بارفيوم 100 مل,47.3,GOLDEN-LOW-VERIFIED,تيزيانا تيرنزي,new,,
شامبو مقوي للشعر بإكليل الجبل والنعناع من ميلي - 355مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/fbf1a33f-0408-4428-90f4-e7f7e8f72a69-500x500-P68FlsGHTlAPP70Hmn1j6p3TMOMPHgGMXJTymUPu.png",57,متجر ساراء ميكاب.csv,تستر معطر شعر نارسيسو بودر 30مل,14.7,GOLDEN-LOW-VERIFIED,,new,,
عينه عطر فورستا ماجيكا من لورنزو بازاغليا اكستريت,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/a4f62f6e-4790-47e6-a21f-0e0852fedcee-500x500-r2JpzgHPi48SOmMIQO0UXeVMbv7THKb7kbsnkZKz.png",20,متجر ساراء ميكاب.csv,عطر إنتيمو كاريزما من رامون بيجار إكستريت دو برفيوم 100مل,33.0,GOLDEN-LOW-VERIFIED,لورينزو بازاجليا,new,,
عينة عطر نيشاني مانت تو بي سن او دي بارفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/6596e613-e7f2-45f0-aa94-4a92292465c9-500x500-toke9wedSg0ICcvjCK16Qjk1p7rygKlKxYSxSEos.png",18,متجر ساراء ميكاب.csv,عطر تروساردي ذا بلاك روز او دي بارفيوم 100مل,41.0,GOLDEN-LOW-VERIFIED,نيشاني,new,,
عينة عطر باراديس دي سانس ديفينا أو دو برفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/c5afc29e-f889-4a91-a4cf-97faaa75af92-500x500-Ik6eQvyI3k2WyNQChueTO4Cy6o15p25UEfWo9bIW.png",9,متجر ساراء ميكاب.csv,عطر روبرتو كافالي جيما دي باراديسو او دو برفيوم 75 مل,41.2,GOLDEN-LOW-VERIFIED,بارادايس دي سانس,new,,
عينة عطر باراديس دي سانس بليس أو دو برفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/220bb73c-9d5e-40be-9719-4f73a1fccf8c-500x500-Fp3KZ582rz1cRNkJgprsqx9G6GiRks3FmASiCb50.png",9,متجر ساراء ميكاب.csv,عطر هيستوريس دي بارفيومز فيدليس أو دو برفيوم 60 مل,40.7,GOLDEN-LOW-VERIFIED,بارادايس دي سانس,new,,
عينة عطر خمرة دخان من لطافه أودي بارفيوم للرجال,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/50c71076-be5d-439e-8fea-8e25262fc429-500x500-vlyQ2AcRBIzmYITji1jvV2AeEsPu5HhVJrzHns6K.png",4,متجر ساراء ميكاب.csv,عطر دولتشي آند غابانا ذا ون أو دو بارفيوم 150مل (للرجال),49.2,GOLDEN-LOW-VERIFIED,,new,,
عينة عطر كريد ابسولو افينتوس الرجالي او دو بارفيوم 2025,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/2c7ccca2-7a9d-4d81-815a-d22e6ebade8a-500x500-2ZkGc2HfYQG9qXFz1RV0ori4ryZxN3Azt1BNdV6x.png",26,متجر ساراء ميكاب.csv,عطر روبرتو كافالي سيربنتين 2025 أو دو بارفيوم 100مل (نسائي),35.2,GOLDEN-LOW-VERIFIED,توس,new,,
"كريم s88 توتال وايت تفتيح تحت الإبط , 35 جرام","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/e1d1758b-c307-4925-bc60-19153b5f44d2-500x500-mbVSrOuflPzkxiKYtquWGaDM69Bu8iQLxg2jRX4D.png",57,متجر ساراء ميكاب.csv,عطر كوم دي غارسون 88 8 الذهبي او دو بارفيوم 50مل,25.5,GOLDEN-LOW-VERIFIED,كريد,new,,
لوشن جلوتا هيا بيرست لتصحيح البقع الداكنة للجسم من فازلين - 200 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/539b39b6-35b1-468b-a39e-eb14fa080392-375x500-PmLtcQH9FE87uHgLVM6i0Mutv2nwIrSSjPPViawk.jpg",23,متجر ساراء ميكاب.csv,شانيل N°5 لوشن الجسم 200 مل,33.8,GOLDEN-LOW-VERIFIED,انجلوت,new,,
سكالا كريم وبلسم للشعر حيويه ولمعان للشعر المستقيم والمموج - 1000 جرام,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/e90a40a2-eb14-4d77-8643-cc0d7a54b66b-500x500-h3OE5roLhnkl2dUulvDQ8DG58jE7XzUpC5NyX6Lc.png",36,متجر ساراء ميكاب.csv,كارسيل للشعر قناع معالج  بالكولاجين للشعر الجاف والتالف - 500 مل,33.1,GOLDEN-LOW-VERIFIED,,new,,
